dataset,mrr,hits@1,hits@5,hits@10
WN18RR_v1,0.7995467044285359,0.7473404255319149,0.848404255319149,0.8723404255319149
WN18RR_v2,0.8083375207960566,0.7732426303854876,0.8310657596371882,0.8526077097505669
WN18RR_average_completed,0.8039421126122963,0.7602915279587013,0.8397350074781686,0.8624740676412409
